symbol,exchange,yahoo_ticker,company_name,aliases,sector,isin,scrip_code,source
20MICRONS,NSE,20MICRONS.NS,20 Microns,20 Microns|20 Microns Limited|20MICRONS,,INE144J01027,16921,IIFL_SCRIPMASTER
21STCENMGM,NSE,21STCENMGM.NS,21St Century Mgmt Service,21STCENMGM|21St Century Mgmt Service,,INE253B01015,4,IIFL_SCRIPMASTER
360ONE,NSE,360ONE.NS,360 One Wam,360 One Wam|360 One Wam Limited|360ONE,,INE466L01038,13061,IIFL_SCRIPMASTER
GOLD360,NSE,GOLD360.NS,360Oneamc - Gold360,360Oneamc - Gold360|GOLD360,,INF579M01BB5,30105,IIFL_SCRIPMASTER
SILVER360,NSE,SILVER360.NS,360Oneamc - Silver360,360Oneamc - Silver360|SILVER360,,INF579M01BC3,756150,IIFL_SCRIPMASTER
3BBLACKBIO,NSE,3BBLACKBIO.NS,3B Blackbio Dx,3B Blackbio Dx|3B Blackbio Dx Limited|3BBLACKBIO,,INE994E01018,762518,IIFL_SCRIPMASTER
3IINFOLTD,NSE,3IINFOLTD.NS,3I Infotech,3I Infotech|3I Infotech Limited|3IINFOLTD,,INE748C01038,6232,IIFL_SCRIPMASTER
3MINDIA,NSE,3MINDIA.NS,3M India,3M India|3M India Limited|3MINDIA,,INE470A01017,474,IIFL_SCRIPMASTER
3PLAND,NSE,3PLAND.NS,3P Land Holdings,3P Land Holdings|3P Land Holdings Limited|3PLAND,,INE105C01023,2595,IIFL_SCRIPMASTER
5PAISA,NSE,5PAISA.NS,5Paisa Capital,5PAISA|5Paisa Capital|5Paisa Capital Limited,,INE618L01018,445,IIFL_SCRIPMASTER
63MOONS,NSE,63MOONS.NS,63 Moons Technologies,63 Moons Technologies|63 Moons Technologies Limited|63MOONS,,INE111B01023,11868,IIFL_SCRIPMASTER
ABCOTS,NSE,ABCOTS.NS,A B Cotspin India,A B Cotspin India|A B Cotspin India Limited|ABCOTS,,INE08PH01015,759130,IIFL_SCRIPMASTER
ABINFRA,NSE,ABINFRA.NS,A B Infrabuild,A B Infrabuild|A B Infrabuild Limited|ABINFRA,,INE00YB01025,27020,IIFL_SCRIPMASTER
ABMKNO,NSE,ABMKNO.NS,A B M Knowledgeware,A B M Knowledgeware|A B M Knowledgeware Limited|ABMKNO,,INE850B01026,762528,IIFL_SCRIPMASTER
ACSTECH,NSE,ACSTECH.NS,A C S Technologies,A C S Technologies|A C S Technologies Limited|ACSTECH,,INE366C01021,762533,IIFL_SCRIPMASTER
AKCAPIT,NSE,AKCAPIT.NS,A K Capital Services,A K Capital Services|A K Capital Services Limited|AKCAPIT,,INE701G01012,762538,IIFL_SCRIPMASTER
A2ZINFRA,NSE,A2ZINFRA.NS,A2Z Infra Engineering,A2Z Infra Engineering|A2Z Infra Engineering Limited|A2ZINFRA,,INE619I01012,20906,IIFL_SCRIPMASTER
AAATECH,NSE,AAATECH.NS,Aaa Technologies,AAATECH|Aaa Technologies|Aaa Technologies Limited,,INE0D0U01013,12533,IIFL_SCRIPMASTER
AADHARHFC,NSE,AADHARHFC.NS,Aadhar Housing Finance L,AADHARHFC|Aadhar Housing Finance L,,INE883F01010,23729,IIFL_SCRIPMASTER
AARNAV,NSE,AARNAV.NS,Aarnav Fashions,AARNAV|Aarnav Fashions|Aarnav Fashions Limited,,INE750R01016,761821,IIFL_SCRIPMASTER
AARON,NSE,AARON.NS,Aaron Industries,AARON|Aaron Industries|Aaron Industries Limited,,INE721Z01010,1030,IIFL_SCRIPMASTER
AARTECH,NSE,AARTECH.NS,Aartech Solonics,AARTECH|Aartech Solonics|Aartech Solonics Limited,,INE01C001026,17145,IIFL_SCRIPMASTER
AARTIDRUGS,NSE,AARTIDRUGS.NS,Aarti Drugs,AARTIDRUGS|Aarti Drugs|Aarti Drugs Limited,,INE767A01016,4481,IIFL_SCRIPMASTER
AARTIIND,NSE,AARTIIND.NS,Aarti Industries,AARTIIND|Aarti Industries|Aarti Industries Limited,,INE769A01020,7,IIFL_SCRIPMASTER
